OrderId,OrderTime,OrderDay,OrderTime(H:M),ShipPrefecture,ShipCity,Title,Brand,Condition,Category,Color,Season,TotalPrice（商品合計金額）,Total（請求金額）,Total（請求金額＊ポイント含まない）,UnitPrice（単価）,UsePoint（利用ポイント金額）,TotalMallCouponDiscount（クーポン値引金額）,ShipCharge（送料）,
10000481,6/13/23 20:59,2023/06/13,20:59,青森県,八戸市,美品/セキネ sekine フレアスカート 社交ダンス 表記 L 11号 40号 相当 白 ホワイト レディース 春 夏 ボトムス ゴム 薄手 ミモレ丈 日本製,セキネ,美品,ボトムス,ホワイト,夏,9400,9400,9400,8800,0,0,600,
10000480,6/11/23 23:47,2023/06/11,23:47,愛知県,名古屋市熱田区,M新品同様/ザラ ZARA チャック柄ブラウス 表記L(11号～大きいサイズ13号相当) 黒/ブラック 7分袖 ノーカラー 春夏向け トップス レディース,ザラ,新品同様,トップス,ブラック,春夏,6800,6800,6800,6200,0,0,600,
10000479,6/7/23 22:50,2023/06/07,22:50,東京都,中央区,Ａ美品/ヒロココシノ HIROKO KOSHINO お洒落なカーゴパンツ 表記9号(38号/M相当) 黒/ブラック お出掛け 春夏向け ボトムス レディース,ヒロココシノ,美品,ボトムス,ブラック,春夏,10401,10401,10401,9801,0,0,600,
10000478,6/6/23 0:12,2023/06/06,00:12,神奈川県,横浜市保土ケ谷区,H美品/レリアン Leilian 爽やかカットワークレースブラウス 大きめ表記13号(LLサイズ相当) オフホワイト 春夏向け トップス レディース,レリアン,美品,トップス,ホワイト,春夏,12810,12169,12169,12810,0,-641,0,
10000477,6/5/23 3:24,2023/06/05,03:24,東京都,江東区,A新品*コムサイズム*紺*七分袖*美形デニムワンピース11,コムサイズム,新品,ワンピース,紺,,6080,6080,6080,5480,0,0,600,
10000476,6/4/23 9:13,2023/06/04,09:13,神奈川県,横浜市鶴見区,M美品/SUNAO KUWAHARA スナオクワハラ アンゴラ混ふんわりチュニック トップス М号(9号/38号相当) 緑 ロング丈 秋冬向け レディース,スナオクワハラ,美品,トップス,緑,秋冬,5590,5590,5590,4990,0,0,600,
10000475,6/4/23 0:24,2023/06/04,00:24,静岡県,静岡市駿河区,新品同様/タルボット TALBOTS ワンピース 表記L 11号相当 カーキ ジャージ素材 ノースリーブ ベルト付 ミモレ丈 シンプル 春夏 レディース,タルボット,新品同様,ワンピース,カーキ,春夏,14740,14740,14740,14740,0,0,0,
10000474,6/1/23 20:15,2023/06/01,20:15,福井県,吉田郡永平寺町石上,美品/ベイジ BEIGE オンワード樫山 ノーカラー ジャケット 小さいサイズ 表記 0号 S 相当 紺 ネイビー レディース 羽織り 春 夏 アウター,ベイジ,美品,アウター,ネイビー,夏,13530,13530,13530,13530,0,0,0,
10000473,5/29/23 15:12,2023/05/29,15:12,神奈川県,横浜市緑区,美品/レキップ ヨシエイナバ L'EQUIPE YOSHIE INABA フレアスカート 表記 11号 L 相当 古着 ベージュ レディース 春 秋 ボトムス 綿混,レキップ,美品,ボトムス,ベージュ,秋,9400,9400,9400,8800,0,0,600,
10000472,5/29/23 0:37,2023/05/29,00:37,宮城県,仙台市宮城野区,Ａ美品/ビースリー B3 美脚ストレッチパンツ 表記36号(9号/M相当) 水色 ロゴ釦 お出掛け 春秋向け ボトムス レディース,ビースリー,美品,ボトムス,水色,春秋,6551,6351,6351,5951,0,-200,600,
10000471,5/27/23 22:28,2023/05/27,22:28,東京都,足立区,新品同様/ラピーヌ VICE VERSA カットソー 表記M 9号相当 紺 ネイビー 春 夏 半袖 透け感 レース 綿混 絹混 ボーダー トップス レディース,ラピーヌ,新品同様,トップス,ネイビー,夏,8300,8300,8300,7700,0,0,600,
